Date,NIFTY 50,NIFTY AUTO,NIFTY MEDIA,NIFTY METALS,NIFTY IT,NIFTY RURAL
02_04_2026_10_35,22221.3,23633,1271.55,11102.9,29646.2,
02_04_2026_10_40,22221.4,23642,1273.5,11114.2,29610.2,
02_04_2026_10_45,22206.3,23611.9,1273.65,11102.1,29633.7,
02_04_2026_10_50,22226.6,23636.4,1274.55,11101.3,29632.7,
02_04_2026_10_55,22243.7,23629.1,1273.95,11108.4,29696.2,
02_04_2026_11_00,22234.8,23609,1277.15,11119.8,29643.3,
02_04_2026_11_05,22235.7,23619.8,1278.15,11133.6,29633.8,
02_04_2026_11_10,22227.7,23618.1,1277.8,11129.7,29618.7,
02_04_2026_11_15,22217.7,23601.4,1277.8,11121.3,29625.8,
02_04_2026_11_20,22212,23607.9,1278.95,11108.2,29672.7,
02_04_2026_11_25,22207.6,23568.7,1280.65,11109,29727.2,
02_04_2026_11_30,22219.8,23600.6,1278.7,11139.2,29720.1,
02_04_2026_11_35,22234.4,23606.7,1279.5,11144.5,29754.9,
02_04_2026_11_40,22223.2,23596.9,1278.55,11147.1,29739.1,
02_04_2026_11_45,22242,23643.7,1279.05,11173.3,29751.2,
02_04_2026_11_50,22247.4,23666.8,1278.55,11178.3,29710.2,
02_04_2026_11_55,22277.6,23715.6,1278.85,11188.8,29721.8,
02_04_2026_12_00,22271.2,23676.3,1278.3,11172.2,29705.6,
02_04_2026_12_05,22264.3,23672.9,1277.95,11182.5,29677.2,
02_04_2026_12_10,22267.8,23682.5,1279.7,11188.7,29702.6,
02_04_2026_12_15,22261.4,23679.1,1281.3,11199.5,29657.2,
02_04_2026_12_20,22261.7,23670.9,1279.4,11190.5,29709,
02_04_2026_12_25,22294.5,23703.4,1279.75,11213.6,29764.3,
02_04_2026_12_30,22316.6,23725.6,1281.55,11232.5,29765.9,
02_04_2026_12_35,22349.3,23747,1282.9,11247.8,29782.8,
02_04_2026_12_40,22363.1,23781.7,1283.45,11251.8,29795.6,
02_04_2026_12_45,22350.9,23776.9,1284.2,11268.2,29794.7,
02_04_2026_12_50,22326.2,23751.4,1286.7,11278.9,29773.3,
02_04_2026_12_55,22365.3,23834.8,1289.65,11327.2,29806.2,
02_04_2026_13_00,22373.3,23826.7,1290.05,11327.7,29858.7,
02_04_2026_13_05,22376.8,23816.9,1291.1,11326.9,29881.8,
02_04_2026_13_10,22369.8,23803.4,1290.65,11314.6,29957.6,
02_04_2026_13_15,22388.4,23827.9,1292.25,11336.3,30008.1,
02_04_2026_13_20,22439.7,23903,1294.4,11358.9,30120.9,
02_04_2026_13_25,22488.2,23982.9,1295.75,11381.5,30177.2,
02_04_2026_13_30,22491.8,23971.6,1298.25,11380,30191.2,
02_04_2026_13_35,22517.8,24009.9,1301.1,11388.2,30260.1,
02_04_2026_13_40,22535.7,24023.1,1301.8,11401.8,30305.3,
02_04_2026_13_45,22533.8,24020,1302.45,11403.3,30293.9,
02_04_2026_13_50,22532.1,24034.6,1304.15,11393.7,30258.3,
02_04_2026_13_55,22530.3,24031.8,1303.35,11404.8,30266.9,
02_04_2026_14_00,22560,24069.8,1304.55,11419.8,30287,
02_04_2026_14_05,22567.9,24058.4,1304.5,11403.1,30313.9,
02_04_2026_14_10,22627.2,24142.1,1307.25,11435.1,30403.1,
02_04_2026_14_15,22651.9,24143.1,1305,11427.7,30381.4,
02_04_2026_14_20,22673.8,24150.2,1306.2,11436.5,30441.2,
02_04_2026_14_25,22665.7,24121.2,1306.65,11433.6,30477.3,
